index,prob_p1,is_p1,prob_pt
12,0.055656869567605356,FALSE,0.7603686635944684
5,0.18087953336449486,FALSE,0.8554216867469884
20,0.3125,FALSE,0.5625000000000002
19,0.05,FALSE,0.23333333333333325
11,0.8805970149253768,TRUE,0.8805970149253768
18,0,FALSE,1
16,0.003413865546218492,FALSE,0.22225935828877036
17,0,FALSE,1
12,8.956025912768332e-5,FALSE,0.17911133258776296
14,0.05146895243080559,TRUE,0.05146895243080559
2,0.03957327802556791,FALSE,0.7077267637177981
12,7.958150274013985e-6,FALSE,0.21703647556109754
4,0.034612582279386045,FALSE,0.7305867665418231
14,0.7317073170731717,TRUE,0.7317073170731717
14,0.21508280022211976,TRUE,0.21508280022211976
5,0.058455932664207774,TRUE,0.058455932664207774
11,6.503353326903485e-5,FALSE,0.48941994003037137
3,0.060120941615766706,FALSE,0.36906658297789585
10,0.07459738674409144,FALSE,0.5367766487874917
8,0.2814318787105924,TRUE,0.2814318787105924
19,0.009523809523809526,FALSE,0.34285714285714297
5,0.31142308616361436,FALSE,0.4214185042310304
3,0.4978035129049249,FALSE,1
17,0.024175824175824163,FALSE,0.23247863247863249
10,0.027881006730405132,FALSE,0.6920903954802216
19,0.21428571428571438,FALSE,1
16,0.004625237191650855,FALSE,0.6697214076246334
15,7.606818752329594e-5,FALSE,0.7447447447447456
4,0.6038270729978733,TRUE,0.6038270729978733
8,1,TRUE,1
15,0.03610071796946098,FALSE,0.3401506724643541
12,2.7427933105764616e-5,FALSE,0.4257467282994471
9,0.04807215153295832,FALSE,0.6610761705101333
6,0.8674698795180744,TRUE,0.8674698795180744
5,0.366439859525901,FALSE,0.5531167690957002
4,0.569569377990431,TRUE,0.569569377990431
10,0.6301020408163257,TRUE,0.6301020408163257
7,0.12970792494901695,FALSE,0.844155844155843
11,0.03723270440251557,TRUE,0.03723270440251557
20,0,FALSE,0.21428571428571438
10,0.5060137192777375,FALSE,0.847457627118645
16,7.187625783451207e-7,FALSE,0.30913978494623673
11,1,TRUE,1
5,0.013233186477797535,FALSE,0.8666666666666659
20,0,FALSE,1
18,0,FALSE,0.12237762237762233
8,0.03477733647743208,FALSE,0.13368082940998663
10,0.5249217972734376,TRUE,0.5249217972734376
16,0.23248053392658513,FALSE,0.4880422691879879
6,9.459674863066154e-7,FALSE,0.05101547814956715
19,0.033333333333333326,FALSE,0.833333333333333
13,0,FALSE,1
4,0.35723707839487845,TRUE,0.35723707839487845
7,5.141254151790604e-4,FALSE,1
13,0.6558434690639847,TRUE,0.6558434690639847
6,0.06534158625251268,FALSE,0.8481012658227831
8,0.3101510946217687,TRUE,0.3101510946217687
13,0.008702200652665061,FALSE,0.3606886238465179
9,0.3703781512605049,TRUE,0.3703781512605049
5,0.40800366351815426,TRUE,0.40800366351815426
3,0.11022372568836776,FALSE,0.7229466941203393
17,0.40033444816053515,FALSE,0.5923076923076921
14,0.05920893756631831,FALSE,0.5414382879421723
16,7.547007072623769e-4,FALSE,1
11,0.08231353706187391,FALSE,0.18255784470034905
13,0,FALSE,1
4,0.0545857445127368,FALSE,0.2758881915218006
13,0.3038510657855363,FALSE,0.5677683402012729
16,5.698005698005701e-5,FALSE,0.8518518518518517
3,0.021215196204786242,FALSE,0.6129330667542022
19,0,FALSE,0.6875000000000002
7,0.04462920671928465,FALSE,0.10376633995921367
7,1.788432110080337e-4,FALSE,0.06243915824944077
5,0.00432597377098195,FALSE,1
5,0.22657541547763205,TRUE,0.22657541547763205
10,0.10059642162409936,FALSE,0.626654259718775
14,0.3038510657855363,FALSE,0.8723404255319152
16,0,FALSE,0.5729292045081523
15,3.9334882889325976e-4,FALSE,0.31902037410708994
15,0.5784204671857627,FALSE,1
2,0.048848265062810405,FALSE,1
7,1.2588210192692523e-6,FALSE,0.47321428571428903
12,0.00803543768543625,FALSE,1
18,0.1248226950354609,FALSE,0.30588960838729556
6,0.11334952726428507,FALSE,0.39653564290473053
11,0.5857142857142845,TRUE,0.5857142857142845
4,0.07584742725070837,FALSE,0.8433734939759043
2,7.840815779185238e-5,FALSE,0.8421052631578937
8,0.6742464304600696,TRUE,0.6742464304600696
9,0.015120764913996386,FALSE,0.5424937965260553
14,0.009828009828009835,FALSE,0.32692585633762133
11,0.4859639349084718,TRUE,0.4859639349084718
9,0.03407457322551659,FALSE,0.5849567099567083
3,0.2432530056681806,FALSE,0.8444444444444489
18,0.05454545454545459,FALSE,1
3,4.3918811480822725e-5,FALSE,0.30462076452276743
12,0.004029122782215313,FALSE,1
3,0.8494623655914013,TRUE,0.8494623655914013
14,0.6624493927125504,FALSE,0.833333333333333
10,0.23302357760865794,FALSE,0.36213123547291426
20,0,FALSE,0.8333333333333331
12,0.04811515146109018,FALSE,0.5600392192909877
14,1.0355415317053684e-11,FALSE,0.44317171916658377
12,0.009465129975234137,FALSE,0.7368235501498324
9,0.1290258451265619,TRUE,0.1290258451265619
3,7.417543229260701e-5,FALSE,0.36906658297789585
4,0.11970138282143793,FALSE,0.7173913043478245
4,0.012374671367967691,FALSE,0.8289473684210518
18,0.0024630541871921183,FALSE,0.7389162561576355
10,0.09112974509407082,FALSE,0.5890117142385741
5,1,TRUE,1
3,0.05663291230261609,FALSE,0.28319569335888944
6,0.3129820886158083,TRUE,0.3129820886158083
16,0,FALSE,0.7337104072398192
7,4.0616939676574613e-4,FALSE,0.3885344609209076
15,0.0018129584693052235,FALSE,1
20,0.3043478260869565,FALSE,0.47826086956521746
16,0.040020790020790065,FALSE,0.8463726884779511
6,7.587174621858552e-11,FALSE,0.833333333333336
4,0.20229947810502866,FALSE,0.696078431372547
15,0.37282640730916605,FALSE,1
14,0.23913783323879723,FALSE,0.3483170754126878
15,0.833333333333336,TRUE,0.833333333333336
3,0.39727030040862105,TRUE,0.39727030040862105
9,0.8360655737704957,FALSE,1
4,0.19338567178998686,FALSE,0.23459901167965627
9,1.3135523679331217e-7,FALSE,0.8571428571428551
20,0.25,FALSE,1
7,1.596288514405875e-5,FALSE,0.3153212522576028
20,0,FALSE,1
16,0.3315776679361478,FALSE,0.8205980066445181
5,0.011679221567613333,FALSE,0.853932584269666
17,0,FALSE,0.8380952380952379
14,0.3597297531592657,FALSE,0.6060131645763687
12,0.2947298330415058,FALSE,0.844444444444443
18,0.02197802197802197,FALSE,0.12307692307692306
17,0.02941176470588232,FALSE,1
20,0.4285714285714287,FALSE,0.5714285714285715
17,0,FALSE,0.8421052631578951
4,0.06675890257019229,FALSE,0.12024393165351882
2,5.6628113960782e-5,FALSE,1
10,0.5227459615347106,TRUE,0.5227459615347106
12,0.1024427855487353,FALSE,0.3471355643788988
5,0.5786676116229602,TRUE,0.5786676116229602
2,0.4149085374951508,TRUE,0.4149085374951508
3,0.4248585157147705,FALSE,0.7145299145299149
3,0.0987536408276861,TRUE,0.0987536408276861
18,0.7256097560975608,FALSE,0.8606271777003484
4,0.35723707839487845,TRUE,0.35723707839487845
11,0.0653936339676777,FALSE,1
10,0.05053009883198548,FALSE,0.07443563188568743
13,0,FALSE,0.6531531531531525
10,0.2533455804004833,FALSE,0.6216948704389219
6,0.0020150442383584767,FALSE,1
15,0.19313183182616223,FALSE,0.6813925570228082
6,0.016429526901732848,FALSE,0.05931517177432242
17,0,FALSE,0.346728307254623
15,6.684491978609629e-4,FALSE,0.09903285638579742
7,1.7033566464696805e-6,FALSE,1
11,0.4887202940131985,FALSE,0.9000000000000012
17,0.8129032258064507,TRUE,0.8129032258064507
19,0.49999999999999994,TRUE,0.49999999999999994
20,0.9166666666666669,TRUE,0.9166666666666669
13,0.06985459504454242,FALSE,1
6,0.0020950261409267198,FALSE,0.5511047399233062
8,0.6632653061224515,FALSE,1
16,1.4473698684225022e-8,FALSE,0.2773826458036986
